,PC1,PC2,PC3,PC4,PC5,PC6
sleep_hours,0.3848379597239619,-0.06728943722115861,-0.4441513753501114,0.6321549234992497,0.080310617673001,-0.4939957383957894
daily_exercise_mins,0.0964876212161575,0.37288598793294925,0.7920341896482519,0.44230387549693856,-0.09857352067284464,-0.13776270949027092
screen_time_hours,-0.2007085865736494,0.7995626147525671,-0.4177356410752518,0.1222868944112381,-0.2872503048410921,0.22010406712518685
diet_quality,0.4119828425090967,0.38709458675339115,0.02870667601908005,-0.6196794229816641,0.07103296351767861,-0.5390320732231897
stress_level,-0.5496287988406199,0.19519901193278305,-0.005537565342632833,0.06003301513687709,0.7712830617380956,-0.2475749186913803
mood,0.5748776112759104,0.17083010091448453,-0.007320826476629683,0.046763230191979144,0.5489967985786859,0.5802541939764981
