,PC1,PC2,PC3,PC4,PC5,PC6,PC7
sleep_hours,0.3809450250838391,-0.33581752821454103,0.039975137656401295,0.4531131026664619,0.7132472926888244,0.16049547054071092,0.026785883913948715
sleep_quality,0.40347746194753376,-0.34549292160308315,-0.1554579421880149,0.4003695526450245,-0.5061124046579453,-0.4914870653538279,-0.18886060147438638
stress_level,-0.49089757846719484,-0.07919075745739484,0.07626257689950253,0.24301883391705859,0.17358350438444797,-0.5728397162260994,0.5741059864121134
screen_time_hours,-0.4103486316088145,-0.3431745714627771,-0.029936582716499793,0.4462179731301782,-0.364827065888006,0.6033594400293449,0.12921738904648772
exercise_min,0.13718290812680445,-0.04416945167101143,0.9760272685173035,0.015571560176197485,-0.16022996074833115,0.0026279439681587274,0.026031912537761978
social_hours,0.09016834160692533,0.800033887166619,0.004734790632150989,0.5885735154557795,-0.05627865371681317,0.04695279989934516,0.0015478811507520138
productivity,0.5057379889288487,0.04261578609925877,-0.12194666796696901,-0.17193849988204934,-0.20750321717744102,0.19565848476206651,0.7852638511742623
