,PC1,PC2,PC3,PC4,PC5,PC6
Study_Hours_Per_Day,0.5731889733487725,0.35960214639920396,0.06335168878394924,0.03354412900917129,-0.6315017510409483,0.37176281485097346
Extracurricular_Hours_Per_Day,0.16166749125772228,-0.3612406881800616,-0.37433481838021704,0.772812774404306,0.12218966116723562,0.30178193061089
Sleep_Hours_Per_Day,0.23557831606565033,-0.3637063559298264,-0.4957023788403564,-0.6317478478885307,0.1479822859167578,0.3814388483243319
Social_Hours_Per_Day,0.03625741223650593,-0.45051863105096346,0.7666435019157654,-0.036508529204061654,0.11086506947213906,0.4408539075141613
Physical_Activity_Hours_Per_Day,-0.5602022739897542,0.4763402181737422,-0.09061726585071508,0.01733174668021209,0.14102913665021743,0.6564086479239504
GPA,0.5240989337673824,0.4219503617615289,0.11910252301507693,0.029943307551362763,0.7295177771497661,2.220446049250313e-16
