,PC1,PC2,PC3,PC4,PC5,PC6,PC7
person_id,0.42935455213936624,0.04154171002604255,0.5603825991505919,-0.09236682572389393,0.009926250655553512,-0.08538739507154319,-0.6956860852935426
age,0.4452692692627134,0.0515349916078625,0.5324534522157317,-0.03909345081392989,-0.056712764697083556,-0.02535112864491492,0.7142726569133647
sleep_duration,0.4490047504936786,-0.12525587641816222,-0.3615624215110697,0.47177324111374813,-0.3881140769848088,-0.5273974425918889,-0.025054432156272427
quality_of_sleep,0.505261130285045,-0.12509050301277158,-0.291134162091917,0.17146834744645784,0.045930746824655144,0.7813283617486558,-0.048160350802288365
physical_activity_level,0.16840221333111816,0.6703196168216572,-0.14858806747784992,0.26185811259865754,0.6392096055406707,-0.15093449057699707,0.01714878005913381
heart_rate,-0.3536696807689625,0.2559710010967634,0.3606355852724606,0.7111801279049439,-0.3192354926414926,0.26405407493854866,-0.04388108427203276
daily_steps,0.08399001199310623,0.6703970617092585,-0.1866594215282323,-0.40450196654841714,-0.5774450121294491,0.10458712529097965,-0.02585861830008133
